,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-04 20:00:00,13.961,730.0,76.0,8.4,893.712
2022-03-04 20:15:00,13.961,730.0,76.0,8.4,254.887
2022-03-04 20:30:00,13.961,730.0,76.0,8.4,1389.33
2022-03-04 20:45:00,13.961,730.0,76.0,8.4,577.401
2022-03-04 21:00:00,13.961,730.0,76.0,8.4,125.319
2022-03-04 21:15:00,13.961,730.0,76.0,8.4,307.979
2022-03-04 21:30:00,13.961,730.0,76.0,8.4,247.172
2022-03-04 21:45:00,13.961,730.0,76.0,8.4,198.828
2022-03-04 22:00:00,13.961,730.0,76.0,8.4,867.594
2022-03-04 22:15:00,13.961,730.0,76.0,8.4,1123.56
2022-03-04 22:30:00,13.961,730.0,76.0,8.4,597.458
2022-03-04 22:45:00,13.961,730.0,76.0,8.4,567.657
2022-03-04 23:00:00,13.961,730.0,76.0,8.4,734.072
2022-03-04 23:15:00,13.961,730.0,76.0,8.4,416.217
2022-03-04 23:30:00,13.961,730.0,76.0,8.4,161.813
2022-03-04 23:45:00,13.961,730.0,76.0,8.4,271.159
2022-03-05 00:00:00,13.84,730.0,76.0,8.4,995.19
2022-03-05 00:15:00,13.84,730.0,76.0,8.4,400.735
2022-03-05 00:30:00,13.84,730.0,76.0,8.4,780.111
2022-03-05 00:45:00,13.84,730.0,76.0,8.4,143.41
2022-03-05 01:00:00,13.84,730.0,76.0,8.4,124.074
2022-03-05 01:15:00,13.84,730.0,76.0,8.4,204.239
2022-03-05 01:30:00,13.84,730.0,76.0,8.4,598.181
2022-03-05 01:45:00,13.84,730.0,76.0,8.4,701.32
2022-03-05 02:00:00,13.84,730.0,76.0,8.4,2.51469
2022-03-05 02:15:00,13.84,730.0,76.0,8.4,436.823
2022-03-05 02:30:00,13.84,730.0,76.0,8.4,202.515
2022-03-05 02:45:00,13.84,730.0,76.0,8.4,950.341
2022-03-05 03:00:00,13.84,730.0,76.0,8.4,556.53
2022-03-05 03:15:00,13.84,730.0,76.0,8.4,199.872
2022-03-05 03:30:00,13.84,730.0,76.0,8.4,54.078
2022-03-05 03:45:00,13.84,730.0,76.0,8.4,20.0443
2022-03-05 04:00:00,13.84,730.0,76.0,8.4,270.28
2022-03-05 04:15:00,13.84,730.0,76.0,8.4,640.223
2022-03-05 04:30:00,13.84,730.0,76.0,8.4,38.0377
2022-03-05 04:45:00,13.84,730.0,76.0,8.4,337.835
