Unnamed: 0,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-14 02:00:00,14.651000000000002,760.0,78.0,9.6,7494.6378
2022-03-14 03:00:00,14.651000000000002,760.0,78.0,9.6,3508.0638
2022-03-14 04:00:00,14.651000000000002,760.0,78.0,9.6,11225.328
2022-03-14 05:00:00,14.651000000000002,760.0,78.0,9.6,7610.286
2022-03-14 06:00:00,14.651000000000002,760.0,78.0,9.6,8213.0274
2022-03-14 07:00:00,14.651000000000002,760.0,78.0,9.6,13778.368799999998
2022-03-14 08:00:00,14.651000000000002,760.0,78.0,9.6,21127.032
2022-03-14 09:00:00,14.651000000000002,760.0,78.0,9.6,16373.027999999998
2022-03-14 10:00:00,14.651000000000002,760.0,78.0,9.6,21441.522
2022-03-14 11:00:00,14.651000000000002,760.0,78.0,9.6,22101.624
2022-03-14 12:00:00,14.651000000000002,760.0,78.0,9.6,19523.088
2022-03-14 13:00:00,14.651000000000002,760.0,78.0,9.6,12635.952
2022-03-14 14:00:00,14.651000000000002,760.0,78.0,9.6,11032.788
2022-03-14 15:00:00,14.651000000000002,760.0,78.0,9.6,13885.572
2022-03-14 16:00:00,14.651000000000002,760.0,78.0,9.6,15790.74
2022-03-14 17:00:00,14.651000000000002,760.0,78.0,9.6,11528.442000000001
2022-03-14 18:00:00,14.651000000000002,760.0,78.0,9.6,12958.9884
2022-03-14 19:00:00,14.651000000000002,760.0,78.0,9.6,17101.83
2022-03-14 20:00:00,14.651000000000002,760.0,78.0,9.6,25734.960000000003
2022-03-14 21:00:00,14.651000000000002,760.0,78.0,9.6,19843.236
2022-03-14 22:00:00,14.651000000000002,760.0,78.0,9.6,11083.307999999999
2022-03-14 23:00:00,14.651000000000002,760.0,78.0,9.6,20564.796
2022-03-15 00:00:00,14.948,760.0,78.0,9.6,14019.06
2022-03-15 01:00:00,14.948,760.0,78.0,9.6,11849.004
2022-03-15 02:00:00,14.948,760.0,78.0,9.6,6326.0238
2022-03-15 03:00:00,14.948,760.0,78.0,9.6,10113.267
2022-03-15 04:00:00,14.948,760.0,78.0,9.6,2942.8440000000005
2022-03-15 05:00:00,14.948,760.0,78.0,9.6,4028.9496
2022-03-15 06:00:00,14.948,760.0,78.0,9.6,8655.804
2022-03-15 07:00:00,14.948,760.0,78.0,9.6,7287.5226
2022-03-15 08:00:00,14.948,760.0,78.0,9.6,16778.904
2022-03-15 09:00:00,14.948,760.0,78.0,9.6,14812.458
2022-03-15 10:00:00,14.948,760.0,78.0,9.6,19602.996
2022-03-15 11:00:00,14.948,760.0,78.0,9.6,14526.671999999999
2022-03-15 12:00:00,14.948,760.0,78.0,9.6,15322.884
2022-03-15 13:00:00,14.948,760.0,78.0,9.6,15079.277999999998
2022-03-15 14:00:00,14.948,760.0,78.0,9.6,20397.96
2022-03-15 15:00:00,14.948,760.0,78.0,9.6,20317.837799999998
2022-03-15 16:00:00,14.948,760.0,78.0,9.6,17992.092
2022-03-15 17:00:00,14.948,760.0,78.0,9.6,15766.53
2022-03-15 18:00:00,14.948,760.0,78.0,9.6,13624.536
2022-03-15 19:00:00,14.948,760.0,78.0,9.6,16218.503999999999
2022-03-15 20:00:00,14.948,760.0,78.0,9.6,16129.968
2022-03-15 21:00:00,14.948,760.0,78.0,9.6,17592.786
2022-03-15 22:00:00,14.948,760.0,78.0,9.6,12125.658000000001
2022-03-15 23:00:00,14.948,760.0,78.0,9.6,10717.068000000001
2022-03-16 00:00:00,15.131,880.0,77.0,9.3,12425.964
2022-03-16 01:00:00,15.131,880.0,77.0,9.3,9260.898
2022-03-16 02:00:00,15.131,880.0,77.0,9.3,8951.172
2022-03-16 03:00:00,15.131,880.0,77.0,9.3,9588.906
2022-03-16 04:00:00,15.131,880.0,77.0,9.3,8101.458
2022-03-16 05:00:00,15.131,880.0,77.0,9.3,4531.4556
2022-03-16 06:00:00,15.131,880.0,77.0,9.3,7150.158
2022-03-16 07:00:00,15.131,880.0,77.0,9.3,6987.3060000000005
2022-03-16 08:00:00,15.131,880.0,77.0,9.3,22778.652000000002
2022-03-16 09:00:00,15.131,880.0,77.0,9.3,15039.557999999999
2022-03-16 10:00:00,15.131,880.0,77.0,9.3,20951.574
2022-03-16 11:00:00,15.131,880.0,77.0,9.3,16311.39
2022-03-16 12:00:00,15.131,880.0,77.0,9.3,22626.966
2022-03-16 13:00:00,15.131,880.0,77.0,9.3,10561.0974
2022-03-16 14:00:00,15.131,880.0,77.0,9.3,15884.178
